日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,MCAP//000755.csv
2019-04-17,'000725,京东方Ａ,3.99,4.02,3.87,3.88,3.89,0.1,2.5707,3.8106,1290345483,5130356545.72,1.38845611064e+11,
2019-04-16,'000725,京东方Ａ,3.89,3.9,3.78,3.8,3.83,0.06,1.5666,1.895,641681822,2465730439.54,1.35365771188e+11,
2019-04-15,'000725,京东方Ａ,3.83,3.92,3.81,3.87,3.83,0.0,0.0,1.5842,536436296,2077771344.2,1.33277867262e+11,
2019-04-12,'000725,京东方Ａ,3.83,3.87,3.81,3.85,3.84,-0.01,-0.2604,0.9635,326261037,1251278953.21,1.33277867262e+11,
2019-04-11,'000725,京东方Ａ,3.84,3.91,3.84,3.89,3.92,-0.08,-2.0408,1.6547,560303909,2166844035.56,1.3362585125e+11,
2019-04-10,'000725,京东方Ａ,3.92,3.98,3.81,3.86,3.88,0.04,1.0309,2.5365,858919034,3345088631.46,1.36409723151e+11,
2019-04-09,'000725,京东方Ａ,3.88,3.91,3.83,3.86,3.88,0.0,0.0,1.4282,483622083,1871617993.15,1.350177872e+11,
2019-04-08,'000725,京东方Ａ,3.88,4.01,3.84,4.01,3.98,-0.1,-2.5126,2.9114,985856155,3855536236.67,1.350177872e+11,
2019-04-04,'000725,京东方Ａ,3.98,4.03,3.93,3.99,3.97,0.01,0.2519,2.4757,838322712,3337059590.95,1.38497627077e+11,
2019-04-03,'000725,京东方Ａ,3.97,3.97,3.91,3.94,3.97,0.0,0.0,2.0779,703618966,2771548013.38,1.38149643089e+11,
2019-04-02,'000725,京东方Ａ,3.97,4.04,3.96,4.02,4.01,-0.04,-0.9975,2.3843,807379453,3213440493.97,1.38149643089e+11,
2019-04-01,'000725,京东方Ａ,4.01,4.04,3.91,3.91,3.9,0.11,2.8205,3.2751,1109031370,4413578936.75,1.3954157904e+11,
2019-03-29,'000725,京东方Ａ,3.9,3.92,3.74,3.81,3.82,0.08,2.0942,2.6144,885291444,3410293168.67,1.35713755176e+11,
2019-03-28,'000725,京东方Ａ,3.82,3.93,3.75,3.78,3.8,0.02,0.5263,2.0651,699275287,2690247677.48,1.32929883275e+11,
2019-03-27,'000725,京东方Ａ,3.8,3.88,3.73,3.85,3.85,-0.05,-1.2987,2.081,704676470,2677063452.63,1.32233915299e+11,
2019-03-26,'000725,京东方Ａ,3.85,4.06,3.82,4.03,4.05,-0.2,-4.9383,3.6869,1248465091,4869239578.26,1.33973835238e+11,
2019-03-25,'000725,京东方Ａ,4.05,4.19,3.96,3.99,4.07,-0.02,-0.4914,4.2943,1454131720,5950336733.08,1.4093351499e+11,
2019-03-22,'000725,京东方Ａ,4.07,4.12,3.98,4.08,3.93,0.14,3.5623,4.6472,1573660308,6382085952.14,1.41629482965e+11,
2019-03-21,'000725,京东方Ａ,3.93,3.99,3.88,3.9,3.91,0.02,0.5115,2.8523,965869857,3816274894.28,1.36757707139e+11,
2019-03-20,'000725,京东方Ａ,3.91,3.95,3.84,3.95,3.95,-0.04,-1.0127,2.3246,787172866,3061677339.51,1.36061739163e+11,
2019-03-19,'000725,京东方Ａ,3.95,4.02,3.84,3.86,3.87,0.08,2.0672,3.7202,1259747718,4965296726.05,1.37453675114e+11,
2019-03-18,'000725,京东方Ａ,3.87,3.87,3.74,3.82,3.82,0.05,1.3089,3.2469,1099457610,4206679356.25,1.34669803213e+11,
2019-03-15,'000725,京东方Ａ,3.82,3.88,3.78,3.85,3.81,0.01,0.2625,2.3919,809943395,3101715923.25,1.32929883275e+11,
2019-03-14,'000725,京东方Ａ,3.81,3.96,3.77,3.9,3.93,-0.12,-3.0534,3.4911,1182154539,4539646614.22,1.32581899287e+11,
2019-03-13,'000725,京东方Ａ,3.93,4.1,3.9,4.1,4.12,-0.19,-4.6117,4.2559,1441156005,5770499595.14,1.36757707139e+11,
2019-03-12,'000725,京东方Ａ,4.12,4.17,4.07,4.14,4.14,-0.02,-0.4831,4.5896,1554150496,6392693352.5,1.43369402904e+11,
2019-03-11,'000725,京东方Ａ,4.14,4.18,3.96,4.05,4.02,0.12,2.9851,5.3302,1804929216,7349124771.87,1.44065370879e+11,
2019-03-08,'000725,京东方Ａ,4.02,4.24,4.01,4.05,4.2,-0.18,-4.2857,5.7959,1962622175,8029918003.83,1.39889563027e+11,
2019-03-07,'000725,京东方Ａ,4.2,4.31,4.16,4.21,4.3,-0.1,-2.3256,6.0089,2034755281,8579570425.05,1.46153274805e+11,
2019-03-06,'000725,京东方Ａ,4.3,4.33,4.13,4.27,4.42,-0.12,-2.7149,9.1619,3102427227,13121176415.8,1.49633114681e+11,
2019-03-05,'000725,京东方Ａ,4.42,4.45,4.21,4.28,4.32,0.1,2.3148,5.5031,1863466134,8141510945.33,1.53808922532e+11,
2019-03-04,'000725,京东方Ａ,4.32,4.49,4.26,4.42,4.28,0.04,0.9346,7.1107,2407850725,10525626493.3,1.50329082656e+11,
2019-03-01,'000725,京东方Ａ,4.28,4.28,4.01,4.1,4.07,0.21,5.1597,5.5406,1876186380,7776229035.3,1.48937146706e+11,
2019-02-28,'000725,京东方Ａ,4.07,4.21,4.0,4.17,4.14,-0.07,-1.6908,5.2148,1765839052,7234875795.74,1.41629482965e+11,
2019-02-27,'000725,京东方Ａ,4.14,4.45,4.03,4.37,4.4,-0.26,-5.9091,8.6892,2942373367,12572027942.8,1.44065370879e+11,
2019-02-26,'000725,京东方Ａ,4.4,4.61,4.19,4.4,4.19,0.21,5.0119,11.9155,4034860434,17847532190.8,1.53112954557e+11,
2019-02-25,'000725,京东方Ａ,4.19,4.19,3.91,4.0,3.81,0.38,9.9738,7.2063,2440220226,10097318523.8,1.45805290817e+11,
2019-02-22,'000725,京东方Ａ,3.81,3.84,3.7,3.71,3.75,0.06,1.6,4.7394,1604865720,6065852200.33,1.32581899287e+11,
2019-02-21,'000725,京东方Ａ,3.75,3.92,3.72,3.8,3.83,-0.08,-2.0888,6.1432,2080239657,7909276814.48,1.30493995361e+11,
2019-02-20,'000725,京东方Ａ,3.83,3.93,3.67,3.69,3.76,0.07,1.8617,6.8464,2318355023,8848682069.09,1.33277867262e+11,
2019-02-19,'000725,京东方Ａ,3.76,3.84,3.66,3.73,3.78,-0.02,-0.5291,7.0056,2372256116,8854799143.7,1.30841979349e+11,
2019-02-18,'000725,京东方Ａ,3.78,3.89,3.47,3.62,3.58,0.2,5.5866,9.6788,3277468600,11927029707.6,1.31537947324e+11,
2019-02-15,'000725,京东方Ａ,3.58,3.67,3.45,3.46,3.53,0.05,1.4164,7.9074,2677641522,9530564389.55,1.24578267572e+11,
2019-02-14,'000725,京东方Ａ,3.53,3.64,3.39,3.64,3.31,0.22,6.6465,11.7847,3990576611,14124856384.9,1.22838347633e+11,
2019-02-13,'000725,京东方Ａ,3.31,3.31,3.13,3.15,3.01,0.3,9.9668,4.597,1556651413,5007098259.51,1.15182699906e+11,
2019-02-12,'000725,京东方Ａ,3.01,3.01,2.72,2.74,2.74,0.27,9.854,6.1153,2070794767,6082754790.92,1.04743180277e+11,
2019-02-11,'000725,京东方Ａ,2.74,2.74,2.61,2.62,2.62,0.12,4.5802,1.937,655926629,1769017720.83,95347612610.6,
2019-02-01,'000725,京东方Ａ,2.62,2.62,2.56,2.56,2.56,0.06,2.3438,0.8187,277229265,721010719.26,91171804759.1,
2019-01-31,'000725,京东方Ａ,2.56,2.62,2.54,2.61,2.6,-0.04,-1.5385,1.0257,347319921,895356738.46,89083900833.3,
2019-01-30,'000725,京东方Ａ,2.6,2.63,2.6,2.61,2.62,-0.02,-0.7634,0.4342,147033003,384071141.26,90475836783.8,
2019-01-29,'000725,京东方Ａ,2.62,2.64,2.6,2.64,2.65,-0.03,-1.1321,0.7192,243533249,638348921.37,91171804759.1,
2019-01-28,'000725,京东方Ａ,2.65,2.69,2.65,2.66,2.64,0.01,0.3788,0.7586,256891788,684648073.64,92215756721.9,
2019-01-25,'000725,京东方Ａ,2.64,2.67,2.63,2.65,2.65,-0.01,-0.3774,0.6691,226589313,601481653.28,91867772734.3,
2019-01-24,'000725,京东方Ａ,2.65,2.67,2.62,2.65,2.65,0.0,0.0,0.698,236364301,625640956.52,92215756721.9,
2019-01-23,'000725,京东方Ａ,2.65,2.67,2.63,2.66,2.66,-0.01,-0.3759,0.5846,197945137,524764572.44,92215756721.9,
2019-01-22,'000725,京东方Ａ,2.66,2.7,2.65,2.7,2.71,-0.05,-1.845,0.7632,258446186,691035929.94,92563740709.6,
2019-01-21,'000725,京东方Ａ,2.71,2.74,2.69,2.7,2.7,0.01,0.3704,0.9378,317553192,859514979.42,94303660647.7,
2019-01-18,'000725,京东方Ａ,2.7,2.71,2.67,2.67,2.67,0.03,1.1236,0.8016,271448646,730789973.14,93955676660.1,
2019-01-17,'000725,京东方Ａ,2.67,2.71,2.65,2.67,2.67,0.0,0.0,0.8101,274311795,734913640.71,92911724697.2,
2019-01-16,'000725,京东方Ａ,2.67,2.72,2.66,2.71,2.71,-0.04,-1.476,0.8942,302812820,812876809.12,92911724697.2,
2019-01-15,'000725,京东方Ａ,2.71,2.72,2.68,2.7,2.71,0.0,0.0,0.827,280043247,757360841.0,94303660647.7,
2019-01-14,'000725,京东方Ａ,2.71,2.73,2.65,2.68,2.68,0.03,1.1194,1.0201,345425601,928365027.17,94303660647.7,
2019-01-11,'000725,京东方Ａ,2.68,2.7,2.66,2.69,2.67,0.01,0.3745,0.6714,227365342,608990510.14,93259708684.8,
2019-01-10,'000725,京东方Ａ,2.67,2.69,2.66,2.68,2.69,-0.02,-0.7435,0.7519,254622180,680742373.77,92911724697.2,
2019-01-09,'000725,京东方Ａ,2.69,2.75,2.68,2.69,2.71,-0.02,-0.738,1.3308,450626278,1222640933.42,93607692672.5,
